Recipient Parent Name,Recipient Parent Duns,Top Words From Serv Desc,Number Of Prime Awards,Current Total Value Of Awards Usd,Potential Total Value Of Awards Usd,Remaining Total Value Of Awards Usd,Award Id Piids,First Contract Start Date,Last Contract End Date,Recipient Address Line 1,Recipient Address Line 2,Recipient City Name,Recipient State Code,Recipient State Name,Recipient Zip 4 Code,Recipient Congressional District,Recipient Phone Number,Recipient Fax Number,Analysis Date,Raw Data Download Date
AHTNA  INCORPORATED,69586055.0,"housekeeping, guard, maint, rep, alt",9,142.11 M,468.92 M,326808585.51,"70CDCR19FR0000003, 70CDCR18FR0000003, HSCEDM17J00007, HSCEDM16J00003, HSCEDM15J00006, HSCEDM11J00041, HSCEDM08J00054, HSCEDM08J00044, HSCEDM15D00001",2011-10-21,2019-11-30,110 W 38TH AVE STE 200D,,ANCHORAGE,AK,ALASKA,995035677,00,9073346477,9073346750,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CLASSIC AIR CHARTER INC.,961704876.0,"travel, transportation, relocation, lodging, recruitment:",1,142.02 M,651.87 M,509850299.59999996,70CDCR18FR0000002,2018-11-14,2023-06-30,460 NEW YORK AVE,,HUNTINGTON,NY,NEW YORK,117433432.0,03,6315495021.0,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
TRAILBOSS ENTERPRISES  INC.,879740454,"housekeeping, guard, facilities, operations, support",6,118.71 M,563.00 M,444295094.64,"70CDCR18FR0000159, 70CDCR18FR0000075, 70CDCR18FR0000131, HSCEDM14J00021, HSCEDM12D00005, 70CDCR18D00000002",2018-07-18,2019-09-27,201 E 3RD AVE,,ANCHORAGE,AK,ALASKA,995012503,00,9073388243,9073380869,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
BOOZ ALLEN HAMILTON HOLDING CORPORATION,964725688,"support, professional:, telecom, program, management",23,109.91 M,342.36 M,232447267.69999996,"70CTD018FR0000193, HSCEMD17F00080, HSCETC15F00023, HSCEDM15F00013, HSCETC15F00004, HSCETC17F00010, HSCETC17F00001, HSCETC14F00041, HSCECR15F00011, HSCEMD14J00035, HSCEMS15F00016, HSCEMS16F00011, HSCEMD14J00104, HSCEMD14J00113, HSCETC08J00022, HSCECR12F00003, HSCECR14F00037, HSCETC08J00018, HSCECR08F00015, HSCEMS11F00104, HSCEOP06F01636, HSCETC15A00001, HSCEMS14A00004",2013-02-05,2024-03-06,8283 GREENSBORO DR,,MCLEAN,VA,VIRGINIA,221023830,11,7033770195,7039023200,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
ASSET PROTECTION & SECURITY SERVICES  L.P.,009741828,"housekeeping, guard, oper, govt, misc",11,99.83 M,332.64 M,232811826.12,"HSCEDM16J00022, HSCEDM16J00018, HSCEDM15J00018, HSCEDM12J00049, HSCEDM12J00004, HSCEDM10J00034, HSCEDM10J00012, HSCEDM09J00047, HSCEDM08J00040, HSCEDM09D00003, HSCEDM09D00001",2012-02-15,2018-12-28,5502 BURNHAM DR,,CORPUS CHRISTI,TX,TEXAS,784133787,27,3619061552,3619061844,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
GLOBAL PRECISION SYSTEMS  LLC,805596710,"housekeeping, guard, tableware",9,97.16 M,418.46 M,321302156.24,"70CDCR18FR0000134, 70CDCR18FR0000061, HSCEDM17J00035, 70CDCR18P00000161, HSCEDM17J00027, HSCEDM16J00050, HSCEDM15J00048, HSCEDM17D00010, HSCEDM15D00009",2017-05-15,2022-09-29,"110 FRONT STREET, SUITE 300",,NOME,AK,ALASKA,99762,00,9073348308,9075632742,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
STG INTERNATIONAL  INC.,179570403,"support, professional:, program, management, administrative",25,89.63 M,452.44 M,362815381.07,"70CDCR18C00000003, HSCEMS13F00071, HSCEMD13F00073, HSCETC11F00016, HSCEMS12F00012, HSCEMD12F00048, HSCESS08JCL001, HSCEMD12F00041, HSCEMD12F00042, HSCEMD12F00007, HSCEMD11F00055, HSCEDM10J00013, HSCEMD09J00092, HSCEMD11F00079, HSCEMD11F00099, HSCEMD11J00019, HSCEMD12F00008, HSCEMS08FCL00016, HSCEMS09F00006, HSCEMS09F00009, HSCEMS08FCL00014, HSCEMD09J00245, HSCEMS08FCL00015, HHSP23320042100HC, HSCEMD08F00188",2009-07-16,2023-06-28,99 CANAL CTR PLZ STE 500,,ALEXANDRIA,VA,VIRGINIA,223145504,08,7035786030,5712556545,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
SAVANTAGE FINANCIAL SERVICES  INC.,878187012,"telecom, telecommunications",2,86.05 M,130.25 M,44205252.730000004,"HSCETC17F00002, HSCETC12F00013",2017-11-22,2020-12-31,1355 PICCARD DR STE 425,,ROCKVILLE,MD,MARYLAND,208504339,08,,,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PALANTIR TECHNOLOGIES INC.,362130952.0,"data, telecom, information, broadcasting, distribution",6,71.04 M,169.62 M,98587323.39999999,"70CTD019C00000001, HSCETC15C00001, HSCETC13F00030, 70CMSD18FR0000094, HSCETE11F00125, HSCETC14C00002",2013-09-13,2021-11-27,100 HAMILTON AVE STE 300,,PALO ALTO,CA,CALIFORNIA,943011651.0,18,6508150217.0,6506182298.0,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
DEV TECHNOLOGY GROUP  INC.,105667401,"telecom, services, programming, systems, development",15,67.71 M,137.06 M,69342753.40999998,"HSCETC16J00057, HSCETC16J00026, HSCETC17J00004, 70CTD018FR0000238, HSCETC16J00052, HSCETC16J00006, HSCETC16J00056, HSCETC13F00032, HSCETC13J00012, HSCETC12F00018, HSCETC12F00005, HSCETC12F00011, HSCETC11J00041, HSCETC11J00002, HSCETC11D00004",2012-06-28,2022-02-28,1984 ISAAC NEWTON SQ W STE 302,,RESTON,VA,VIRGINIA,201905041,11,7038608135,7038608138,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PHACIL  INC.,054885111,"telecom, help, desk",1,67.58 M,69.70 M,2119618.0900000036,HSCETC12F00014,2018-09-05,2019-03-09,8484 WESTPARK DRIVE SUITE 600,,MCLEAN,VA,VIRGINIA,221023590,11,7035261852,7037377100,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
PERSPECTA INC.,081218565,"telecom, data, centers, storage, support",3,61.56 M,85.98 M,24413137.28000001,"HSCETE15J00227, 70CMSD18FC0000012, HSCETC08F00013",2018-09-21,2020-06-26,13600 EDS DR A3S-B53,,HERNDON,VA,VIRGINIA,201713299,11,7037333793,7037422674,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
CACI INTERNATIONAL INC,045534641,"support, professional:, miscellaneous, communication, equipment",4,59.23 M,94.56 M,35323949.2,"HSCEMS16J00065, HSCEMD14FAF003, HSCEMD10F00260, HSCETC09F00005",2014-04-14,2021-03-17,14370 NEWBROOK DRIVE,,CHANTILLY,VA,VIRGINIA,201512218,10,7036794137,7036793402,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
WIDEPOINT CORPORATION,788549012,"support, professional:, program, management",2,54.94 M,212.77 M,157831494.48000002,"HSCETE15F00007, HSCETE15F00002",2017-03-23,2018-12-08,7926 JONES BRANCH DR STE 520,,MC LEAN,VA,VIRGINIA,221023371,11,7033495644,7038483560,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
MAXIM HEALTHCARE SERVICES  INC.,606290401,"medical, general, health, care",3,54.17 M,54.17 M,0.0,"HSCEDM17C00002, HSCEDM15C00004, HSCEDM14C00005",2016-08-05,2018-11-22,7227 LEE DEFOREST DR,,COLUMBIA,MD,MARYLAND,210463236,03,4109101553,4109101615,2018-12-06 00:50:22.184857,2018-06-27 00:00:00.000000
